code	occupation	gender	conversations	birth-region	age-range	study-level	L1
PKP028	student	F	KPC004	lazio	26-30	university-degree-ongoing	italian
PKP029	student	F	KPN010	toscana	21-25	university-degree-ongoing	italian
PKP030	student	M	KPN019;KPN020	veneto	21-25	university-degree-ongoing	italian
PKP031	student	M	KPN002	veneto	21-25	university-degree-ongoing	italian
PKP032	office-work	M	KPN020	estero	56-60	tecnical-workhnical-vocational-diploma	other
PKP033	intellectual	F	KPN031;KPS004	emilia-romagna	26-30	university-degree	italian
PKP034	retired	F	KPS004	puglia	81-85	tecnical-workhnical-vocational-diploma	italian
PKP035	retired	M	KPS004	puglia	over 85	tecnical-workhnical-vocational-diploma	italian
PKP036	intellectual	F	KPN031	lazio	26-30	university-degree	italian
PKP037	intellectual	M	KPN031	lazio	26-30	university-degree	italian
PKP038	intellectual	F	KPN002	veneto	21-25	university-degree	italian
PKP039	intellectual	M	KPS008;KPS009;KPS010;KPS011	puglia	56-60	university-degree	italian
PKP040	office-work	F	KPS008;KPS009;KPS010;KPS011	estero	51-55	university-degree	italian
PKP041	intellectual	F	KPS008;KPS009;KPS010;KPS011	puglia	21-25	liceo-diploma	italian
PKP042	intellectual	M	KPS009	puglia	16-20	liceo-diploma	italian
PKP043	intellectual	M	KPN012;KPS013	puglia	21-25	liceo-diploma	italian
PKP044	intellectual	F	KPN012	puglia	21-25	liceo-diploma	italian
PKP045	intellectual	M	KPN012	puglia	21-25	university-degree	italian
PKP046	intellectual	F	KPN012	puglia	16-20	liceo-diploma	italian
PKP047	intellectual	M	KPS010	puglia	21-25	phd	italian
PKP048	unemployed	F	KPS011	veneto	81-85	elementary-school	italian
PKP049	unemployed	F	KPS012	puglia	51-55	tecnical-workhnical-vocational-diploma	italian
PKP050	intellectual	F	KPS012	puglia	21-25	liceo-diploma	italian
PKP051	student	F	KPS012	puglia	16-20	middle-school	italian
PKP052	intellectual	F	KPS013	puglia	51-55	university-degree	italian
PKP053	student	F	KPS013	puglia	16-20	middle-school	italian
PKP054	student	F	KPN009	friuli-venezia-giulia	21-25	university-degree-ongoing	italian
PKP055	retail	M	KPN009	toscana	21-25	tecnical-workhnical-vocational-diploma	italian
PKP056	intellectual	F	KPC002	toscana	51-55	university-degree	italian
PKP057	student	F	KPN013;KPN014;KPN015;KPN016;KPN017	emilia-romagna	21-25	university-degree-ongoing	italian
